en_data,en_tokenized,en_idized,en_len,ref0,ref1,ref2,ref3,ref4,pred
"This programme permits the Committee ’s members , who represent civil society organisations in the European Union , to set out their views on the choices that Europe must make for a sustainable future in a world in crisis . The Committee ’s political objective is to present what might be termed a civil society manifesto to the other institutions , the European Parliament , the Commission and the Council in particular , in order to support their actions with a view to achieving Europe ’s shared goals .","['this', 'programme', 'permits', 'the', 'committee', '’s', 'members', ',', 'who', 'represent', 'civil', 'society', 'organisations', 'in', 'the', 'european', 'union', ',', 'to', 'set', 'out', 'their', 'views', 'on', 'the', 'choices', 'that', 'europe', 'must', 'make', 'for', 'a', 'sustainable', 'future', 'in', 'a', 'world', 'in', 'crisis', '.', 'the', 'committee', '’s', 'political', 'objective', 'is', 'to', 'present', 'what', 'might', 'be', 'termed', 'a', 'civil', 'society', 'manifesto', 'to', 'the', 'other', 'institutions', ',', 'the', 'european', 'parliament', ',', 'the', 'commission', 'and', 'the', 'council', 'in', 'particular', ',', 'in', 'order', 'to', 'support', 'their', 'actions', 'with', 'a', 'view', 'to', 'achieving', 'europe', '’s', 'shared', 'goals', '.']","[35, 4224, 8617, 5, 3207, 100008, 551, 4, 70, 2865, 2592, 1604, 7303, 12, 5, 30493, 3863, 4, 8, 270, 65, 60, 1249, 21, 5, 2938, 17, 28694, 286, 116, 16, 10, 5033, 592, 12, 10, 213, 12, 3129, 6, 5, 3207, 100008, 873, 4518, 13, 8, 665, 88, 289, 32, 15939, 10, 2592, 1604, 25746, 8, 5, 90, 3331, 4, 5, 30493, 9331, 4, 5, 5223, 7, 5, 4070, 12, 931, 4, 12, 354, 8, 343, 60, 1919, 22, 10, 515, 8, 7903, 28694, 100008, 1826, 1709, 6, 1]",90,This European programme creates a sustainable future and attempts to achieve Europe 's shared goals .,"This programme permits the Committee 's members , who represent EU civil society organizations , to give their views on the choices Europe must make for a sustainable future in a crisis world . The Committee 's political objective is to present a civil society manifesto to the other institutions , the European Parliament , the Commission and the Council in particular , in order to support their actions on achieving Europe 's shared goals .","This programme permits the Committee 's members to set out their views on the choices that Europe must make for a sustainable future in a world in crisis .   The committee 's political objective is to present what might be termed a civil society manifesto to the other institutions , European Parliament , and the Commission and Counsel to support their actions .",This European programme creates a sustainable future and attempts to achieve Europe 's shared goals .,"This programme permits the Committees 's members , who represent civil society organisations in the EUU , to set out their views on the choices that EU must make for a sustainable future in a world in crisis . The Committee 's political objective is to present what might be termed as a civil society manifesto to the other institutions , the EU parliament , in order to support their actions with a view of achieving EU 's shared goals","the eu member states to be able to present their views on europe ' s choices . the programme allows the commission to represent the civil society organisations in the european union , to make their views on the choices that europe must do for a sustainable future in a crisis which is to be described in the european union and the european union . the commission is so far as critical as to that the commission is being treated with all due animal security and justice policy . the june list for this being the first being that is that we are not saying so that the commission is not saying that that the world being so far as europe is concerned to the european union 's affairs and development policy and all member states and the european parliament 's group on citizens for justice and justice for the european parliament and justice for justice for europe and justice"
might be habitable or not .,"['might', 'be', 'habitable', 'or', 'not', '.']","[289, 32, 45383, 38, 40, 6, 1]",7,might be habitable .,might be liveable or not,might be habitat or not .,might be habitable .,might habitable,it may be .
"The bigger the EU , the greater the benefits","['the', 'bigger', 'the', 'eu', ',', 'the', 'greater', 'the', 'benefits']","[5, 2516, 5, 30998, 4, 5, 1662, 5, 1461, 1]",10,A large EU has greater benefits,EU member growth is beneficial .,"Bigger the EU , the better the benefits",A large EU has greater benefits,the bigger the EU . the grater profit,the most important important gains .
"To do so , they need to align their economies carefully with those of existing members .","['to', 'do', 'so', ',', 'they', 'need', 'to', 'align', 'their', 'economies', 'carefully', 'with', 'those', 'of', 'existing', 'members', '.']","[8, 87, 62, 4, 54, 161, 8, 6243, 60, 11100, 3462, 22, 173, 9, 1871, 551, 6, 1]",18,Economies must be aligned with those of existing members .,They need to align their economics better with those of existing members,They need to align carefully .,Economies must be aligned with those of existing members .,"To do so , they need to align their economies carefully with those members",that is why their economies are properly coordinated by existing members .
"However , we have expressed also our regret that the Council does not engage in a full dialogue with the views advanced by Parliament , nor does it refer to those resolutions in operational documents as joint actions or common positions .","['however', ',', 'we', 'have', 'expressed', 'also', 'our', 'regret', 'that', 'the', 'council', 'does', 'not', 'engage', 'in', 'a', 'full', 'dialogue', 'with', 'the', 'views', 'advanced', 'by', 'parliament', ',', 'nor', 'does', 'it', 'refer', 'to', 'those', 'resolutions', 'in', 'operational', 'documents', 'as', 'joint', 'actions', 'or', 'common', 'positions', '.']","[675, 4, 53, 36, 3345, 80, 74, 7762, 17, 5, 4070, 225, 40, 4127, 12, 10, 337, 5545, 22, 5, 1249, 2231, 33, 9331, 4, 1906, 225, 23, 2665, 8, 173, 11382, 12, 6284, 2450, 27, 3405, 1919, 38, 785, 2887, 6, 1]",43,"However , we expressed our regret that the Council does not engage in a full dialogue with the Parliament 's views , nor does it refer to those resolutions in operational documents as joint actions or common positions .",council does not engage in full dialogue or refer to joint actions or common positions,"With regret , the Council is not engaged in full disclosure with Parliament 's views nor regards resolutions of documents as joint actions nor positions .","However , we expressed our regret that the Council does not engage in a full dialogue with the Parliament 's views , nor does it refer to those resolutions in operational documents as joint actions or common positions .",we have expressed also our regret that the   council does not engage in a full dialogue,"however , we also expressed our regret that the council will not engage in a full dialogue with parliament 's views or that these are common or common actions ."
This debate requires European responses and common decisions .,"['this', 'debate', 'requires', 'european', 'responses', 'and', 'common', 'decisions', '.']","[35, 1783, 1980, 30493, 3994, 7, 785, 2470, 6, 1]",10,The debate requires European responses and common decisions .,This debate requires EU responses and common decisions,The debate requires responses and decisions .,The debate requires European responses and common decisions .,This debate requires European responses and common decisions .,the debate calls for solutions .
We call on the African Union to impose sanctions on the military junta and to organise a dialogue within a reconciliation committee .,"['we', 'call', 'on', 'the', 'african', 'union', 'to', 'impose', 'sanctions', 'on', 'the', 'military', 'junta', 'and', 'to', 'organise', 'a', 'dialogue', 'within', 'a', 'reconciliation', 'committee', '.']","[53, 506, 21, 5, 32485, 3863, 8, 10892, 8295, 21, 5, 1195, 47409, 7, 8, 19484, 10, 5545, 325, 10, 16263, 3207, 6, 1]",24,We call on the African Union to sanction the military Junta and organise a reconciliation dialogue,"We want the African Union to impose sanctions on the military junta , and organise a dialogue within a reconciliation committee .",We request the African Union to impose sanctions and to organize a dialogue within a reconciliation committee .,We call on the African Union to sanction the military Junta and organise a reconciliation dialogue,dialogue within a reconciliation committee,we call on the african union to impose a political junta in a conciliation committee .
"It begins with a clean sheet of paper , a felt marker ,","['it', 'begins', 'with', 'a', 'clean', 'sheet', 'of', 'paper', ',', 'a', 'felt', 'marker', ',']","[23, 2473, 22, 10, 805, 3358, 9, 855, 4, 10, 921, 8922, 4, 1]",14,"It begins with a sheet of paper , a felt marker ,","beginning with a clean sheet of paper , a felt marker",It starts with paper and a marker,"It begins with a sheet of paper , a felt marker ,","it starts with a clean sheet , a felt marker ,","it begins with a clean paper , marking ."
We have already provided Japan with assistance in a very concrete way .,"['we', 'have', 'already', 'provided', 'japan', 'with', 'assistance', 'in', 'a', 'very', 'concrete', 'way', '.']","[53, 36, 405, 660, 28527, 22, 2792, 12, 10, 110, 4427, 140, 6, 1]",14,Assistance has been provided materially to Japan,We have provided Japan with assistance .,Japan has our complete assistance .,Assistance has been provided materially to Japan,we have provided Japan with assistance,we have already provided this very concrete aid .
In the Middle East everyone waits for a new Anwar Sadat to arise among the Arabs .,"['in', 'the', 'middle', 'east', 'everyone', 'waits', 'for', 'a', 'new', 'anwar', 'sadat', 'to', 'arise', 'among', 'the', 'arabs', '.']","[12, 5, 1376, 2551, 589, 18571, 16, 10, 96, 103874, 2, 8, 8449, 683, 5, 103399, 6, 1]",18,"In the Near East , all wait for a new Anwar Sadat to appear .",Middle Easterns   await a new Anwar Sadal to arise among Arabs .,Many await a new Anwar Sadat to arise in the Middle East .,"In the Near East , all wait for a new Anwar Sadat to appear .",The Middle East waits for a new Anwar Sadat .,the lisbon council is waiting for a new development development perspective .
and that changed everything .,"['and', 'that', 'changed', 'everything', '.']","[7, 17, 1167, 479, 6, 1]",6,That changed everything .,and that changed everything,and that changed all,That changed everything .,which changed everything .,this change .
"We work on behalf of the European Union institutions , particularly the European Commission .","['we', 'work', 'on', 'behalf', 'of', 'the', 'european', 'union', 'institutions', ',', 'particularly', 'the', 'european', 'commission', '.']","[53, 136, 21, 4430, 9, 5, 30493, 3863, 3331, 4, 1346, 5, 30493, 5223, 6, 1]",16,"We work for the European Union institutions , particularly the European Commission .","We work on favor of the EU institutions , particularly the EUC .","We work on behalf of the EU institutions , particularly the European Commission .","We work for the European Union institutions , particularly the European Commission .","we work with European union institutions , even the European commission","we are working on the eu institutions , particularly ."
We have focused on the need to establish a true dialogue with the Council on the main objectives of the EU 's common foreign and security policy .,"['we', 'have', 'focused', 'on', 'the', 'need', 'to', 'establish', 'a', 'true', 'dialogue', 'with', 'the', 'council', 'on', 'the', 'main', 'objectives', 'of', 'the', 'eu', ""'s"", 'common', 'foreign', 'and', 'security', 'policy', '.']","[53, 36, 2474, 21, 5, 161, 8, 3637, 10, 688, 5545, 22, 5, 4070, 21, 5, 612, 6820, 9, 5, 30998, 34, 785, 1971, 7, 938, 913, 6, 1]",29,The main focus is establishing actual dialogue with the Council and the objective of EU 's common foreign and security policy .,a true dialogue with the council on the main objectives of the EU 's common foreign and security policy,We focused on establishing a true dialogue with the Council on the main objectives of the EU 's common foreign and security policy .,The main focus is establishing actual dialogue with the Council and the objective of EU 's common foreign and security policy .,we focus on dialogue with council on main objectives of EU foreign and security policy,we have focused on the need to establish genuine dialogue with the council on the common european policy .
"I have great pleasure in giving the floor to the British Prime Minister , Gordon Brown .","['i', 'have', 'great', 'pleasure', 'in', 'giving', 'the', 'floor', 'to', 'the', 'british', 'prime', 'minister', ',', 'gordon', 'brown', '.']","[202, 36, 162, 3211, 12, 981, 5, 1226, 8, 5, 30334, 4496, 4231, 4, 101513, 2795, 6, 1]",18,"I give the floor to British Prime Minister , Gordon Brown .",I 'm honoured to give the floor to the British Prime Minister .,I have great pleasure Gordon Brown,"I give the floor to British Prime Minister , Gordon Brown .",great pleasure in giving the floor to the British,i congratulate the president of the british parliament on his report .
"I told myself it was because I was growing up and maturing ,","['i', 'told', 'myself', 'it', 'was', 'because', 'i', 'was', 'growing', 'up', 'and', 'maturing', ',']","[202, 549, 740, 23, 26, 134, 202, 26, 1404, 66, 7, 35556, 4, 1]",14,"I thought it was due to maturation ,",I told myself it was because I was maturing,I told myself I was growing up and maturing,"I thought it was due to maturation ,",It was because I was growing up .,i was told that i was increasingly stronger .
We assist partner countries in developing quality education and training systems and in putting them into practice .,"['we', 'assist', 'partner', 'countries', 'in', 'developing', 'quality', 'education', 'and', 'training', 'systems', 'and', 'in', 'putting', 'them', 'into', 'practice', '.']","[53, 3010, 1962, 1094, 12, 2281, 492, 899, 7, 811, 977, 7, 12, 1999, 92, 97, 1018, 6, 1]",19,We assist partner countries in developing quality education and training and implementing these .,"We support partner countries in developing quality education , training systems and practices .",We assist partner countries in developing quality education and training systems and putting them into practice .,We assist partner countries in developing quality education and training and implementing these .,we help partner countries develop quality education and training systems and practising with them,we help partner countries in developing education and training and training .
"in the conservative U.S. state I live in , Kansas .","['in', 'the', 'conservative', 'u.s.', 'state', 'i', 'live', 'in', ',', 'kansas', '.']","[12, 5, 4535, 67792, 351, 202, 472, 12, 4, 61283, 6, 1]",12,I lived in Kansas .,"in the conservative state I live in , Kansas .","in conservative Kansas , USA .",I lived in Kansas .,"in the state I live in , Kansas",in the state of state myself .
"Your physician says , "" You know , I think you have some depression .","['your', 'physician', 'says', ',', '""', 'you', 'know', ',', 'i', 'think', 'you', 'have', 'some', 'depression', '.']","[41, 5764, 238, 4, 19, 24, 122, 4, 202, 144, 24, 36, 89, 4937, 6, 1]",16,The doctor thinks you have depression .,"Your physician says , "" I think you have depression .",Your doctor says I think you have depression .,The doctor thinks you have depression .,"your physician says , "" I think you have some depression .","you know , i think you have some depression ."
Contact your national data protection authority or the competent authority which issued the alert in SIS II so that it can take measures to avoid mistaken identity between you and any other person who has been the subject of an alert .,"['contact', 'your', 'national', 'data', 'protection', 'authority', 'or', 'the', 'competent', 'authority', 'which', 'issued', 'the', 'alert', 'in', 'sis', 'ii', 'so', 'that', 'it', 'can', 'take', 'measures', 'to', 'avoid', 'mistaken', 'identity', 'between', 'you', 'and', 'any', 'other', 'person', 'who', 'has', 'been', 'the', 'subject', 'of', 'an', 'alert', '.']","[714, 41, 904, 332, 1922, 2728, 38, 5, 10194, 2728, 63, 2583, 5, 5969, 12, 27779, 8561, 62, 17, 23, 46, 178, 2741, 8, 1640, 11546, 3122, 207, 24, 7, 105, 90, 407, 70, 51, 78, 5, 795, 9, 42, 5969, 6, 1]",43,"Contact your national data protection authority or the competent authority which issued the alert in SIS II so that it can take measures to avoid mistaken identity , between you and any other person",contact any competent authority that issue the alert in SIS II to avoid mistaken identity with any other criminal,"To avoid your identity being mistaken for the subject of an alert , contact your national data protection authority or the competent authority which issued the alert in SIS II .","Contact your national data protection authority or the competent authority which issued the alert in SIS II so that it can take measures to avoid mistaken identity , between you and any other person",contact your national data protection authority in the SIS II so that you can take action and avoid misidentification between you and any other person who has been the subject of an alert .,"your national data protection committee or the competent authorities , in such a way that we can take measures to avoid a false identity of the person of alarm ."
Why Pain Hurt,"['why', 'pain', 'hurt']","[318, 1355, 2893, 1]",4,Reason Pain Hurts,Why pain hurts,Why pain hurt,Reason Pain Hurts,it hurt ?,.
The Schengen Information System ( SIS II ),"['the', 'schengen', 'information', 'system', '(', 'sis', 'ii', ')']","[5, 100071, 199, 279, 20, 27779, 8561, 18, 1]",9,Schengen Information System,The Schengen Information System ( SIS II ),The Schengen Information System,Schengen Information System,The Schengen Information System ( SIS II ),the schengen information system .
We expect that the Council 's annual report will provide opportunities to establish a dialogue with Parliament aimed at developing a more strategic approach to the common foreign and security policy .,"['we', 'expect', 'that', 'the', 'council', ""'s"", 'annual', 'report', 'will', 'provide', 'opportunities', 'to', 'establish', 'a', 'dialogue', 'with', 'parliament', 'aimed', 'at', 'developing', 'a', 'more', 'strategic', 'approach', 'to', 'the', 'common', 'foreign', 'and', 'security', 'policy', '.']","[53, 1386, 17, 5, 4070, 34, 1608, 609, 48, 427, 1985, 8, 3637, 10, 5545, 22, 9331, 5263, 29, 2281, 10, 57, 4385, 1243, 8, 5, 785, 1971, 7, 938, 913, 6, 1]",33,We expect that the Council 's annual report will provide opportunities to establish a dialogue with Parliament aimed at developing more strategic approaches to the common foreign and security policy .,a more strategic approach to the common foreign and security policy,We expect the Council 's annual report will allow for a dialogue with Parliament to develop a more strategic approach to common foreign and security policy .,We expect that the Council 's annual report will provide opportunities to establish a dialogue with Parliament aimed at developing more strategic approaches to the common foreign and security policy .,we expect the report will provide opportunities for a more strategic report on common and foreign security,we expect the council 's annual report to establish a dialogue with parliament to develop a more strategic foreign and security .
"Unfortunately , at the same time as we 're discovering this treasure trove","['unfortunately', ',', 'at', 'the', 'same', 'time', 'as', 'we', ""'re"", 'discovering', 'this', 'treasure', 'trove']","[5385, 4, 29, 5, 195, 77, 27, 53, 265, 10270, 35, 8027, 36490, 1]",14,"Unfortunately , while we 're discovering this treasury",we 're discovering this treasure trove,We are discovering this treasure,"Unfortunately , while we 're discovering this treasury",we 're discovering this treasure trove,"unfortunately , as is the precious good treasure ."
"It increases competition and innovation , benefitsconsumers and releases resources for other areas such as social welfare and education .","['it', 'increases', 'competition', 'and', 'innovation', ',', 'benefitsconsumers', 'and', 'releases', 'resources', 'for', 'other', 'areas', 'such', 'as', 'social', 'welfare', 'and', 'education', '.']","[23, 3441, 1845, 7, 4471, 4, 2, 7, 4333, 1372, 16, 90, 771, 160, 27, 624, 6617, 7, 899, 6, 1]",21,"Increases innovation , benefits and releases resources for other areas like social welfare and education","Social welfare , education and consumer benefits has increased competition and innovation .",It opens aid for welfare and education and raises competition and innovation benefiting comsumers .,"Increases innovation , benefits and releases resources for other areas like social welfare and education","it increases competition and innovation , benefits consumers and releases resources for the other areas such as social welfare","it strengthens competition and innovation , and the resources of social welfare etc ."
Our main asset is our expertise in :,"['our', 'main', 'asset', 'is', 'our', 'expertise', 'in', ':']","[74, 612, 6137, 13, 74, 4076, 12, 14, 1]",9,Our expertise is our main asset,Our main trick is our expertise in :,Our main asset is expertise in :,Our expertise is our main asset,we are experts in,our main is that .
"Mr President , we have a special debate today on three major reports on foreign policy , on security and defence , and on EU - NATO relations .","['mr', 'president', ',', 'we', 'have', 'a', 'special', 'debate', 'today', 'on', 'three', 'major', 'reports', 'on', 'foreign', 'policy', ',', 'on', 'security', 'and', 'defence', ',', 'and', 'on', 'eu', '-', 'nato', 'relations', '.']","[17332, 1338, 4, 53, 36, 10, 588, 1783, 323, 21, 251, 611, 1344, 21, 1971, 913, 4, 21, 938, 7, 7589, 4, 7, 21, 30998, 47, 100029, 3762, 6, 1]",30,"Mr President , we are debating on three major reports on foreign policy , on security and defence , and on EU - NATO relations .",we have a debate on 3 reports on foreign policy security and defence and EU - nato relations,"Mr President , we have a special debate today on three major reports.(foreign policy , security and defence , and EU - NATO relations )","Mr President , we are debating on three major reports on foreign policy , on security and defence , and on EU - NATO relations .",we have a special debate today on three major reports on foreign policy,"mr president , today we have a topical debate on three important reports on foreign policy , security relations ."
they have a rough idea of what the side effects are .,"['they', 'have', 'a', 'rough', 'idea', 'of', 'what', 'the', 'side', 'effects', 'are', '.']","[54, 36, 10, 4783, 550, 9, 88, 5, 417, 1301, 28, 6, 1]",13,They know what some of the side effects are .,they know   the side effects are,They roughly know the side effects .,They know what some of the side effects are .,they know the side effects .,a logic of departure has been made .
our own planet is sagging under the weight of humanity .,"['our', 'own', 'planet', 'is', 'sagging', 'under', 'the', 'weight', 'of', 'humanity', '.']","[74, 209, 3445, 13, 37160, 250, 5, 1075, 9, 5968, 6, 1]",12,our planet sags under the weight of humanity .,planet is sagging under the weight of humanity,people can already destroy the Earth .,our planet sags under the weight of humanity .,the Earth is sagging under the weight of humanity .,our planet is under the planet .
and it was cold .,"['and', 'it', 'was', 'cold', '.']","[7, 23, 26, 1532, 6, 1]",6,in the cold .,it was cold,it was cold,in the cold .,it was cold,this situation .
"We must remember that , in striving for a better Europe , the European Parliament plays a special role , a role that is not only institutional , but also social , a deeply symbolic role .","['we', 'must', 'remember', 'that', ',', 'in', 'striving', 'for', 'a', 'better', 'europe', ',', 'the', 'european', 'parliament', 'plays', 'a', 'special', 'role', ',', 'a', 'role', 'that', 'is', 'not', 'only', 'institutional', ',', 'but', 'also', 'social', ',', 'a', 'deeply', 'symbolic', 'role', '.']","[53, 286, 878, 17, 4, 12, 18236, 16, 10, 244, 28694, 4, 5, 30493, 9331, 1984, 10, 588, 830, 4, 10, 830, 17, 13, 40, 103, 9766, 4, 44, 80, 624, 4, 10, 4426, 12493, 830, 6, 1]",38,"In striving for a better Europe , the European parliament plays a special role that is both institutional and deeply symbolic .","We must remember that the European Parliament plays a special role that is institutional and social , a deeply symbolic role .",Striving for a better Europe the Parliament plays a special role that is not only institutional but also social and deeply symbolic role .,"In striving for a better Europe , the European parliament plays a special role that is both institutional and deeply symbolic .",the parliament plays a special role,"we must remember that , in seeking for a better europe , the european parliament plays a special role , a role in this area ."
The threat comes from an unlikely source organized crime .,"['the', 'threat', 'comes', 'from', 'an', 'unlikely', 'source', 'organized', 'crime', '.']","[5, 3142, 518, 37, 42, 4910, 818, 3200, 2482, 6, 1]",11,The threat comes from organized crime,from an unlikely source organized crime,The threat comes from organized crime .,The threat comes from organized crime,from organized crime .,the threat is organised crime .
"When I was young , I prided myself as a nonconformist","['when', 'i', 'was', 'young', ',', 'i', 'prided', 'myself', 'as', 'a', 'nonconformist']","[82, 202, 26, 613, 4, 202, 84457, 740, 27, 10, 2, 1]",12,I used to pride myself as a nonconformist,"I was a young , prideful nonconformist .",I was a nonconformist when I was young .,I used to pride myself as a nonconformist,"In my youth , I was a proud nonconformist","when i was young , myself ."
To protect the stratospheric ozone layer international agreements have been reached to ban the use and trade of the ozone - destroying chemicals called chlorofluorocarbons CFC s.,"['to', 'protect', 'the', 'stratospheric', 'ozone', 'layer', 'international', 'agreements', 'have', 'been', 'reached', 'to', 'ban', 'the', 'use', 'and', 'trade', 'of', 'the', 'ozone', '-', 'destroying', 'chemicals', 'called', 'chlorofluorocarbons', 'cfc', 's.']","[8, 1770, 5, 72290, 22495, 2594, 1010, 7309, 36, 78, 1903, 8, 4391, 5, 133, 7, 1480, 9, 5, 22495, 47, 10050, 6622, 372, 102298, 2, 49545, 1]",28,To protect ozone layer international agreements have been reached to ban the use and trade of the ozone - destroying chemicals called CFCs .,"To protect the stratospheric ozone layer , bans on the use and trade of chlorofluorocarbons ( CFC 's ) have been made .",To protect the agreements that have been reached to ban CFC s.,To protect ozone layer international agreements have been reached to ban the use and trade of the ozone - destroying chemicals called CFCs .,he stratospheric ozone layer international,international agreements have been achieved to protect the use and trade of chemical substances to UNK UNK UNK .
